owner,name,default_branch,ref,updated_at,url,id
dapphub,ds-auth,master,,2022-01-15T12:39:31Z,https://github.com/dapphub/ds-auth,dapphub_ds-auth_master
aragon,aragon-court,master,v1.1.3,2020-05-29T15:51:45Z,https://github.com/aragon/aragon-court/tree/v1.1.3,aragon_aragon-court_v1.1.3
aragon,govern,develop,v1.0.0-beta.12,2020-11-10T13:07:27Z,https://github.com/aragon/govern/tree/v1.0.0-beta.12,aragon_govern_v1.0.0-beta.12
aragon,dao-templates,master,1.0.0-dandelion-stardust,2021-12-28T15:30:30Z,https://github.com/aragon/dao-templates/tree/1.0.0-dandelion-stardust,aragon_dao-templates_1.0.0-dandelion-stardust
vocdoni,dvote-solidity,main,v1.4.0,2021-11-02T16:11:34Z,https://github.com/vocdoni/dvote-solidity/tree/v1.4.0,vocdoni_dvote-solidity_v1.4.0
JoinColony,colonyNetwork,develop,elwss2,2021-12-08T15:40:34Z,https://github.com/JoinColony/colonyNetwork/tree/elwss2,JoinColony_colonyNetwork_elwss2
daostack,alchemy-monorepo,dev,1.0.7,2021-03-15T08:43:40Z,https://github.com/daostack/alchemy-monorepo/tree/1.0.7,daostack_alchemy-monorepo_1.0.7
notchia,metagov,main,,2022-01-11T02:42:53Z,https://github.com/notchia/metagov,notchia_metagov_main
gnosis,safe-contracts,main,v1.3.0-libs.0,2021-11-17T16:53:12Z,https://github.com/gnosis/safe-contracts/tree/v1.3.0-libs.0,gnosis_safe-contracts_v1.3.0-libs.0
dapphub,ds-chief,master,,2021-09-22T01:44:14Z,https://github.com/dapphub/ds-chief,dapphub_ds-chief_master
dapphub,ds-guard,master,,2022-01-10T01:19:55Z,https://github.com/dapphub/ds-guard,dapphub_ds-guard_master
dapphub,ds-pause,master,,2021-11-07T13:40:45Z,https://github.com/dapphub/ds-pause,dapphub_ds-pause_master
dapphub,ds-roles,master,,2022-01-10T01:35:44Z,https://github.com/dapphub/ds-roles,dapphub_ds-roles_master
dapphub,ds-spell,master,,2021-09-22T01:44:27Z,https://github.com/dapphub/ds-spell,dapphub_ds-spell_master
dapphub,ds-prism,master,,2021-10-17T02:55:42Z,https://github.com/dapphub/ds-prism,dapphub_ds-prism_master
openlawteam,tribute-contracts,master,v2.3.4,2022-01-19T20:13:32Z,https://github.com/openlawteam/tribute-contracts/tree/v2.3.4,openlawteam_tribute-contracts_v2.3.4
OpenZeppelin,openzeppelin-contracts,master,v4.4.2,2022-01-11T19:52:22Z,https://github.com/OpenZeppelin/openzeppelin-contracts/tree/v4.4.2,OpenZeppelin_openzeppelin-contracts_v4.4.2
kleros,kleros,master,,2022-01-26T16:19:31Z,https://github.com/kleros/kleros,kleros_kleros_master
kleros,erc-792,master,v8.0.0,2021-10-07T22:13:38Z,https://github.com/kleros/erc-792/tree/v8.0.0,kleros_erc-792_v8.0.0
jurteam,mvp-smart-contract,master,,2021-12-30T02:31:13Z,https://github.com/jurteam/mvp-smart-contract,jurteam_mvp-smart-contract_master

MolochVentures,moloch,master,,2022-02-01T13:17:27Z,https://github.com/MolochVentures/moloch,MolochVentures_moloch_master
safe-global,safe-contracts,main,v1.3.0-libs.0,2021-11-17T16:53:12Z,https://github.com/safe-global/safe-contracts/tree/v1.3.0-libs.0,safe-global_safe-contracts_v1.3.0-libs.0
gnosis,zodiac,master,v1.1.5,2022-09-14T04:32:09Z,https://github.com/gnosis/zodiac/tree/v1.1.5,gnosis_zodiac_v1.1.5
aragon,core,develop,,2022-09-06T19:24:46Z,https://github.com/aragon/core/tree/develop/packages/contracts/,aragon_core_develop
